severity,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,churn,files,NR,NBF,nc,ncom,avg_cs,dsc,ce,exp,own,is_controller,is_procedural,is_test,is_util,is_external
critical,40,47,7,40,144,7,2,147,229,0.8988238,0.33333334,0.47619048,34,1,5,27,0,2,7,0,0,0,50,11,0,34,1,15,35,0,9,996,31,10,44,10,31,62,88,189,78,139,6,1,7,0,273,1,16,15360,632,1,2,34,10,18.58823529,5.86,3.03168213,3.4,0.352941176,FALSE,FALSE,FALSE,FALSE,FALSE
none,11,12,1,11,16,1,0,9,1,0.53333336,0.6666667,1,6,0,4,2,0,0,4,0,0,0,5,0,0,5,0,0,5,0,0,53,12,0,1,0,0,0,0,8,0,8,1,0,0,0,38,1,0,7461,256,0,0,9,3,28.44444444,7.704142012,1.74477929,3,0.777777778,TRUE,FALSE,FALSE,FALSE,FALSE
none,3,3,0,3,1,2,0,0,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1024,0,3354,85,0,2,7,2,12.14285714,3.333333333,1.656410028,3.5,0.857142857,TRUE,FALSE,FALSE,TRUE,FALSE
major,11,12,1,11,102,1,0,50,37,0.88759685,0.30555555,0.41666666,18,0,9,9,0,0,9,0,0,0,43,38,0,43,0,0,37,0,8,341,37,4,21,0,8,80,10,82,9,82,7,0,0,0,152,1,18,3420,87,1,0,14,2,6.214285714,8.271468144,1.963587176,7,0.857142857,TRUE,FALSE,FALSE,FALSE,FALSE
none,4,4,0,4,6,1,0,5,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,29,0,0,3,0,0,1,0,5,0,3,2,0,0,0,28,12,0,22583,1091,5,47,114,11,9.570175439,5.444444444,3.681098846,10.36363636,0.50877193,FALSE,FALSE,FALSE,FALSE,FALSE
none,1,1,0,1,1,4,0,0,0,1,,,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,8,0,2037,36,0,6,20,3,1.8,6.444444444,2.779190228,6.666666667,0.55,FALSE,FALSE,FALSE,FALSE,FALSE
none,2,6,4,2,2,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,23340,121,0,1,3,2,40.33333333,3.75,1.046938994,1.5,0.666666667,TRUE,TRUE,FALSE,FALSE,FALSE
none,1,2,1,1,2,1,0,4,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,11,0,0,0,0,0,2,0,1,1,1,0,0,0,0,14,1,0,2497,26,1,0,1,1,26,0,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,6,4,2,1,5,0,1,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,3865,49,0,0,1,1,49,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,4,21,17,4,6,1,0,0,15,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,93,1,0,22354,329,1,1,8,1,41.125,7.333333333,1.846343229,8,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,7,13,6,7,11,4,0,13,36,0,0,0,9,1,8,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,2,45,3,2,0,0,0,0,2,7,2,4,1,0,1,0,35,1,0,3268,30,0,1,2,2,15,0,0.684231765,1,0.5,TRUE,FALSE,FALSE,FALSE,FALSE
