file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,churn,files,NR,NBF,nc,ncom,avg_cs,dsc,ce,exp,own,is_controller,is_procedural,is_test,is_util,is_external
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\base\BaseSpotcheckProcessService.java,gov.nysenate.openleg.spotchecks.base.BaseSpotcheckProcessService,class,9,12,3,9,12,1,1,9,19,0.82142854,0.06666667,0.06666667,7,0,2,1,4,0,6,4,0,0,4,1,0,4,0,0,1,0,0,41,6,0,0,2,0,0,5,2,0,5,2,0,0,0,38,1025,0,3731,157,0,2,10.0,2.0,15.7,6.84375,1.9879355038781699,5.0,0.9,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\test\java\gov\nysenate\openleg\processors\AbstractProcessServiceTest.java,gov.nysenate.openleg.processors.AbstractProcessServiceTest,class,4,6,2,4,11,2,1,15,10,0.84999996,0.0,0.0,5,0,1,0,4,0,5,3,0,0,2,1,0,2,0,0,2,0,1,30,0,2,0,1,0,8,0,8,2,8,3,0,0,0,64,1025,0,464,22,0,1,2.0,1.0,11.0,5.5,0.6890092384766586,2.0,1.0,True,False,True,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\legislation\agenda\CommitteeAgendaId.java,gov.nysenate.openleg.legislation.agenda.CommitteeAgendaId,class,3,13,10,3,11,1,1,6,0,0.5,0.71428573,0.75,8,0,8,0,0,0,8,0,0,0,3,1,0,3,0,0,1,0,3,32,8,0,3,0,0,1,1,4,1,4,1,0,0,0,37,1,0,4360,118,0,0,5.0,3.0,23.6,6.567474048442906,1.064569300195772,1.6666666666666667,0.6,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\test\java\gov\nysenate\openleg\processors\bill\xml\XmlAnActProcessorIT.java,gov.nysenate.openleg.processors.bill.xml.XmlAnActProcessorIT,class,10,12,2,10,2,3,0,6,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,1,0,1,1,0,0,20,0,0,0,0,0,7,2,9,1,10,0,0,0,0,57,1,0,3369,164,4,4,19.0,4.0,8.631578947368421,6.78125,2.570757431562499,4.75,0.47368421052631576,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\test\java\gov\nysenate\openleg\spotchecks\sensite\bill\SenateSiteBillDumpTest.java,gov.nysenate.openleg.spotchecks.sensite.bill.SenateSiteBillDumpTest,class,11,12,1,11,3,2,0,8,0,0.33333334,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,1,0,1,0,2,1,0,0,17,0,1,0,0,0,1,0,5,0,7,1,0,0,0,22,1,1,5257,193,1,1,7.0,3.0,27.571428571428573,0.0,1.6446563723577075,2.3333333333333335,0.5714285714285714,False,False,True,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\api\legislation\transcripts\session\view\TranscriptInfoView.java,gov.nysenate.openleg.api.legislation.transcripts.session.view.TranscriptInfoView,class,2,3,1,2,6,2,1,3,2,0.5,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,20,3,0,2,0,1,1,0,2,0,2,1,0,0,0,12,1,0,224,18,0,0,3.0,2.0,6.0,3.0,0.9338238517147219,1.5,0.6666666666666666,False,True,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\test\java\gov\nysenate\openleg\legislation\committee\dao\CommitteeDaoIT.java,gov.nysenate.openleg.legislation.committee.dao.CommitteeDaoIT,class,15,16,1,15,26,2,0,60,0,0.6666667,0.84615386,1.0,15,3,13,2,0,0,13,0,0,0,4,3,0,3,1,0,3,0,27,196,2,6,2,1,0,47,28,51,0,53,2,0,0,2,100,1,0,18472,569,2,5,17.0,3.0,33.470588235294116,6.32,2.5692407409155,5.666666666666667,0.6470588235294118,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\processors\bill\xml\XmlSameAsProcessor.java,gov.nysenate.openleg.processors.bill.xml.XmlSameAsProcessor,class,17,18,1,17,15,4,0,37,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,0,0,1,0,1,0,2,67,2,4,1,1,0,28,4,18,1,18,7,0,0,0,78,1,0,15921,646,2,9,40.0,7.0,16.15,6.43213296398892,2.808093354730538,5.714285714285714,0.475,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\processors\ManagedLegDataProcessService.java,gov.nysenate.openleg.processors.ManagedLegDataProcessService,class,29,31,2,29,44,1,0,86,71,0.86666673,0.17777778,0.33333334,15,0,9,5,1,0,10,0,0,0,12,2,0,12,0,0,2,0,8,206,12,10,3,2,1,24,12,46,6,47,4,0,0,1,191,1,6,44141,1507,7,27,67.0,7.0,22.492537313432837,7.2181069958847734,3.6432255213476146,9.571428571428571,0.29850746268656714,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\daybreak\DaybreakFragment.java,gov.nysenate.openleg.spotchecks.daybreak.DaybreakFragment,class,4,11,7,4,13,1,0,5,30,0.72307694,0.30769232,0.71794873,13,0,13,0,0,0,13,0,0,0,5,0,0,5,0,0,0,0,0,49,7,0,0,0,0,2,0,9,0,5,0,0,0,0,63,1,0,2404,61,0,0,4.0,2.0,15.25,0.0,1.2472200016224004,2.0,0.75,False,False,False,False,False
